sigma,sigma_index,realization,h0_bottleneck,h0_total_persistence_absent,h0_total_persistence_present,h0_total_persistence_delta,h0_max_persistence_absent,h0_max_persistence_present,h0_max_persistence_delta,h0_persistence_entropy_absent,h0_persistence_entropy_present,h0_persistence_entropy_delta,h0_n_persistent_absent,h0_n_persistent_present,h0_n_persistent_delta,h0_landscape_l2_absent,h0_landscape_l2_present,h0_landscape_l2_delta,h1_bottleneck,h1_total_persistence_absent,h1_total_persistence_present,h1_total_persistence_delta,h1_max_persistence_absent,h1_max_persistence_present,h1_max_persistence_delta,h1_persistence_entropy_absent,h1_persistence_entropy_present,h1_persistence_entropy_delta,h1_n_persistent_absent,h1_n_persistent_present,h1_n_persistent_delta,h1_landscape_l2_absent,h1_landscape_l2_present,h1_landscape_l2_delta
0.25,0,0,0.26104789399627765,423.0326622854819,421.0023706508181,-2.030291634663797,0.8503715660163867,0.8503715660163552,-3.1530333899354446e-14,7.265109395432104,7.262555208120227,-0.0025541873118770653,1740.0,1742.0,2.0,2.311922162561539,2.306483027400145,-0.005439135161394049,0.26914440689634517,781.3771127127865,778.2610771313257,-3.1160355814607783,1.0359534215326975,0.9861955826567133,-0.049757838875984284,7.780852535510624,7.7800908149380295,-0.0007617205725942711,2959.0,2955.0,-4.0,3.4429094682871764,3.426307789332604,-0.016601678954572208
0.25,0,1,0.24141577219238047,405.6527271913096,403.0387245973349,-2.6140025939747034,0.8416490664950991,0.853210438138073,0.011561371642973883,7.2317486884661974,7.228773976287984,-0.0029747121782133235,1686.0,1680.0,-6.0,2.221304002332957,2.209576347306861,-0.011727655026096073,0.1633304144814941,771.7411854404937,769.0192804840722,-2.721904956421554,1.1023909326211003,1.1023909326211003,0.0,7.7759274040875335,7.773837631085666,-0.002089773001867634,2943.0,2940.0,-3.0,3.405670820195749,3.397598170457467,-0.0080726497382817
0.25,0,2,0.22292036300812515,419.4959468138543,416.78906261717225,-2.70688419668204,0.9479177553367398,0.9938858561079053,0.04596810077116542,7.238194447998849,7.2356749543967,-0.00251949360214887,1697.0,1692.0,-5.0,2.3324423416963365,2.3251151155823697,-0.007327226113966745,0.21476278476315003,778.5095888765136,775.7126764731049,-2.796912403408669,1.213688519484284,1.2136885194843239,3.9968028886505635e-14,7.772120091390294,7.771187978799347,-0.000932112590946943,2929.0,2929.0,0.0,3.4263695713817555,3.415609094382399,-0.010760476999356339
0.25,0,3,0.2291574839377595,409.0910010617813,406.98668076418465,-2.1043202975966437,0.8811466320997606,0.8997505723691258,0.018603940269365182,7.240486405231503,7.237325011054438,-0.003161394177065624,1705.0,1698.0,-7.0,2.2486151100320653,2.241807475948283,-0.006807634083782155,0.2419235907112516,771.2352571609484,768.555704730729,-2.6795524302194735,0.9828763505084437,0.9263358564634501,-0.05654049404499362,7.778987024022617,7.778144494022428,-0.000842530000189079,2942.0,2944.0,2.0,3.3692414071905947,3.3553904805240617,-0.013850926666532981
0.25,0,4,0.23450956452710547,422.70653562614996,420.0220654668807,-2.6844701592692672,0.8512006810401586,0.8708873506849901,0.019686669644831567,7.266874712056935,7.265626679759649,-0.0012480322972860947,1754.0,1754.0,0.0,2.2977637432899862,2.2791753322677333,-0.01858841102225295,0.25138366543182555,787.8459281794246,785.7099888676073,-2.1359393118173102,1.0031960629682857,1.0031960629682857,0.0,7.797701124208384,7.796208132096176,-0.0014929921122082135,2989.0,2985.0,-4.0,3.4247902049040517,3.4192667672379504,-0.005523437666101305
0.25,0,5,0.21121226772025173,419.95862485461413,417.3609282321154,-2.597696622498745,0.929273608915672,1.015174877783293,0.08590126886762095,7.234825666796871,7.232385892027122,-0.0024397747697486594,1686.0,1682.0,-4.0,2.3315687526057847,2.322351815790185,-0.009216936815599652,0.23281355623979555,788.1347689266042,786.743870606458,-1.3908983201462206,1.1047057356824361,1.1047057356824361,0.0,7.780013952136258,7.77980503762452,-0.00020891451173810083,2985.0,2982.0,-3.0,3.536391964469562,3.529586750851909,-0.00680521361765285
0.25,0,6,0.2203567643706267,416.48605462259127,413.47682183085436,-3.009232791736906,0.8611739886922294,0.8959588355421861,0.03478484684995675,7.246390893912433,7.24561002358056,-0.0007808703318730181,1715.0,1714.0,-1.0,2.269450205492387,2.253278915402204,-0.01617129009018292,0.23648447285785829,774.3327708054188,772.0267099164541,-2.30606088896468,1.0786109214148083,1.0785372922621541,-7.362915265418657e-05,7.781902625517551,7.7816995180434,-0.00020310747415130948,2960.0,2961.0,1.0,3.3917013344165263,3.376810967144211,-0.014890367272315519
0.25,0,7,0.28881068366296864,414.5403214689942,412.7378949673757,-1.80242650161847,0.8493783122948814,0.8494988866676916,0.00012057437281021155,7.251505942651988,7.249727159180956,-0.0017787834710327743,1695.0,1691.0,-4.0,2.235012953911943,2.228017004589324,-0.006995949322619044,0.26327198687949643,780.1064823796221,777.8464903719139,-2.259992007708206,0.9954978720459478,0.9954978720459775,2.9753977059954195e-14,7.787960981305703,7.787682793437266,-0.0002781878684370298,2947.0,2945.0,-2.0,3.4026267759428777,3.388790090852612,-0.01383668509026581
0.25,0,8,0.23045282029768438,400.6735622591774,398.5738073795278,-2.099754879649595,0.838336027098722,0.8429027455085124,0.0045667184097903935,7.228409454067688,7.225743312430665,-0.0026661416370235003,1698.0,1693.0,-5.0,2.1947073225431932,2.186892372904961,-0.00781494963823226,0.2769296850563402,802.2436917938101,800.6029654042696,-1.6407263895404185,1.015169879348391,1.015169879348391,0.0,7.786556894072392,7.785730204830978,-0.000826689241414158,2967.0,2963.0,-4.0,3.5567457855366196,3.545336674540311,-0.011409110996308591
0.25,0,9,0.21558579165287114,427.6848166003221,424.1042427336645,-3.5805738666576303,1.0475050705426134,1.1025463659364176,0.0550412953938042,7.250529036154139,7.246031704060783,-0.004497332093355233,1723.0,1718.0,-5.0,2.367789813173186,2.36012221239555,-0.00766760077763573,0.31956355705059136,782.4505188530838,779.874893378048,-2.5756254750358494,1.182415416301256,1.182415416301256,0.0,7.793109679134487,7.79145379918507,-0.0016558799494168497,2988.0,2985.0,-3.0,3.4018584021074956,3.397141857594447,-0.004716544513048593
0.25,0,10,0.15555152711115378,405.23968588648177,402.5518584297145,-2.687827456767252,0.8390595865654017,0.859925406085144,0.020865819519742312,7.238138142253533,7.23587909431271,-0.002259047940822434,1694.0,1691.0,-3.0,2.19797613660306,2.1879539446198284,-0.010022191983231732,0.3174352906231988,817.0563398758472,815.2256594004808,-1.830680475366421,1.0728513208905803,1.0728513208905803,0.0,7.808794873180192,7.808153811572975,-0.0006410616072169972,3036.0,3034.0,-2.0,3.5674919830567418,3.55929433088136,-0.008197652175381709
0.25,0,11,0.19163327353004844,418.43442619799805,415.83642638026106,-2.5979998177369907,0.846670949062476,0.8491072336795101,0.0024362846170341568,7.254365758018131,7.249682419527749,-0.0046833384903814945,1716.0,1708.0,-8.0,2.244668532438808,2.236380286347491,-0.008288246091316953,0.2087163941310327,784.1235581341114,782.7698154591883,-1.353742674923069,0.9045689362787076,0.9045689362787076,0.0,7.793201475539506,7.793416867611432,0.0002153920719258906,2973.0,2976.0,3.0,3.405649714743264,3.3957935637689967,-0.009856150974267397
0.25,0,12,0.19705935076948855,408.27687118601835,405.70695660084624,-2.569914585172114,0.9197660965936669,0.9197660965936669,0.0,7.245523209697409,7.243430234847196,-0.002092974850213203,1719.0,1715.0,-4.0,2.240573615380405,2.2313074551266117,-0.009266160253793121,0.19997883874264377,787.7960253618435,786.1984389333738,-1.59758642846964,0.9670004716114018,0.9670004716114018,0.0,7.813888750132774,7.813257085270034,-0.0006316648627402444,3047.0,3040.0,-7.0,3.3765248379573,3.367694155069882,-0.00883068288741784
0.25,0,13,0.29922068580543004,413.5654808848879,411.2123158128187,-2.353165072069203,0.9089988484216128,0.9463805466364422,0.037381698214829395,7.218815868118859,7.216414494183168,-0.0024013739356911756,1695.0,1691.0,-4.0,2.333156690817353,2.323012462500289,-0.010144228317063853,0.23924991027308845,776.9650275704407,774.2965742070768,-2.6684533633639376,1.0237883262958096,1.0237883262958096,0.0,7.776395119830813,7.775671553052968,-0.0007235667778449084,2930.0,2928.0,-2.0,3.4237468066065513,3.413805668461109,-0.009941138145442174
0.25,0,14,0.3115713738216628,428.6722146682039,426.25308075273324,-2.4191339154706384,0.9687665600379763,0.9687665600379763,0.0,7.245743583419896,7.242821929008144,-0.0029216544117520726,1715.0,1711.0,-4.0,2.410356877502221,2.402855234808891,-0.0075016426933296465,0.2739533732961504,773.6858461659908,772.0942041906321,-1.591641975358698,0.9938521443694363,0.9938521443694363,0.0,7.781041175097849,7.780326965033084,-0.0007142100647650196,2927.0,2923.0,-4.0,3.361066823987429,3.3553624037264473,-0.005704420260981724
