sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.72453850905516,0.7757313972657962,0.04015432282322682
0.75,16,11.816359006036775,0.5231673438814834,0.0546725488242333
1.0,64,8.86226925452758,0.36104642622771577,0.015317200908555498
1.1,64,8.056608413206892,0.2949705301919729,0.014314176511322586
1.2,64,7.3852243787729845,0.27620868492134015,0.013549256374936747
1.3,64,6.817130195790447,0.2352899304255286,0.014021026312625981
1.4,64,6.330192324662558,0.23898581657083234,0.013788131792245481
1.5,64,5.9081795030183875,0.19257050611581417,0.011496696255853532
1.6,64,5.538918284079737,0.22654543484888987,0.012589371418887444
1.7,64,5.213099561486812,0.19002223878599456,0.010646623646813708
1.8,64,4.923482919181989,0.1624050016252172,0.008107198343878616
1.9,64,4.6643522392250425,0.16420813509077792,0.008426047988923624
2.0,64,4.43113462726379,0.16812165335657958,0.008440056870757611
2.1,64,4.220128216441705,0.15001672829782697,0.008195402220803937
2.2,64,4.028304206603446,0.17020518129638235,0.008785710169995417
2.3,64,3.8531605454467743,0.14791057714717704,0.007531799472090899
2.4,64,3.6926121893864923,0.1444161995738516,0.00826344414406132
2.5,64,3.544907701811032,0.14323753533507305,0.008507926726257433
3.0,16,2.9540897515091937,0.09471688733244453,0.004662411152165555
4.0,16,2.215567313631895,0.10788787765758255,0.007651613858673846
8.0,16,1.1077836568159476,0.06438463328351356,0.0032937622796997755
