sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_standard_error
0.5,16,17.724538509055158,0.7986171701242302,0.04671061444364554
0.75,16,11.816359006036771,0.4904627923555497,0.0367274913271574
0.8,128,11.077836568159473,0.5063203773482188,0.015036248768669182
0.9,128,9.846965838363976,0.43341072886449794,0.011051149245889003
1.0,128,8.862269254527579,0.3507448360926331,0.010653829098577167
1.1,128,8.05660841320689,0.34709185749001203,0.011957862974203006
1.2,128,7.385224378772983,0.31021764811911623,0.010399317208484382
1.3,128,6.817130195790445,0.2715326178068286,0.009130271918575347
1.4,128,6.330192324662557,0.28201062214955314,0.010765575577311426
1.5,128,5.908179503018386,0.2752453069173388,0.009790285241407484
1.6,128,5.538918284079736,0.22593808579506014,0.00793247181125521
1.7,128,5.213099561486811,0.2375679605620416,0.009165059696402746
1.8,128,4.923482919181988,0.20579870193268338,0.007265150296022191
1.9,128,4.664352239225042,0.20274011319850704,0.006604127977875955
2.0,128,4.4311346272637895,0.1948610471687083,0.006746233424672974
2.1,128,4.220128216441704,0.19197481861031462,0.00692650397400903
2.2,128,4.028304206603445,0.18770547326335596,0.006686016583214505
2.3,128,3.853160545446774,0.17346934245656914,0.005785083186119534
2.4,128,3.6926121893864914,0.160052346187449,0.0054271954229019835
2.5,128,3.5449077018110318,0.16967654649513825,0.0054800930832029195
3.0,16,2.954089751509193,0.15512471186908794,0.01423988820162194
4.0,16,2.2155673136318947,0.13444826741706906,0.010685254730503252
8.0,16,1.1077836568159474,0.0787934431213638,0.003531853455979083
